 Total Nb of available Diagnostics: ndiagt=   246
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
    99 |TOTVTEND| 48 |    98 |VVR     MR|m/s/day         |Tendency of Meridional Component of Velocity
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   100 |TOTTTEND| 48 |       |SMR     MR|degC/day        |Tendency of Potential Temperature
   101 |TOTSTEND| 48 |       |SMR     MR|psu/day         |Tendency of Salinity
   102 |MoistCor| 48 |       |SM      MR|W/m^2           |Heating correction due to moist thermodynamics
   103 |gT_Forc | 48 |       |SMR     MR|degC/s          |Potential Temp. forcing tendency
   104 |gS_Forc | 48 |       |SMR     MR|psu/s           |Salinity forcing tendency
   105 |AB_gT   | 48 |       |SMR     MR|degC/s          |Potential Temp. tendency from Adams-Bashforth
   106 |AB_gS   | 48 |       |SMR     MR|psu/s           |Salinity tendency from Adams-Bashforth
   107 |gTinAB  | 48 |       |SMR     MR|degC/s          |Potential Temp. tendency going in Adams-Bashforth
   108 |gSinAB  | 48 |       |SMR     MR|psu/s           |Salinity tendency going in Adams-Bashforth
   109 |AB_gU   | 48 |   110 |UUR     MR|m/s^2           |U momentum tendency from Adams-Bashforth
   110 |AB_gV   | 48 |   109 |VVR     MR|m/s^2           |V momentum tendency from Adams-Bashforth
   111 |AB_gW   | 48 |       |WM      LR|m/s^2           |W momentum tendency from Adams-Bashforth
   112 |ADVr_TH | 48 |       |WM      LR|degC.m^3/s      |Vertical   Advective Flux of Pot.Temperature
   113 |ADVx_TH | 48 |   114 |UU      MR|degC.m^3/s      |Zonal      Advective Flux of Pot.Temperature
   114 |ADVy_TH | 48 |   113 |VV      MR|degC.m^3/s      |Meridional Advective Flux of Pot.Temperature
   115 |DFrE_TH | 48 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Explicit part)
   116 |DFxE_TH | 48 |   117 |UU      MR|degC.m^3/s      |Zonal      Diffusive Flux of Pot.Temperature
   117 |DFyE_TH | 48 |   116 |VV      MR|degC.m^3/s      |Meridional Diffusive Flux of Pot.Temperature
   118 |DFrI_TH | 48 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Implicit part)
   119 |ADVr_SLT| 48 |       |WM      LR|psu.m^3/s       |Vertical   Advective Flux of Salinity
   120 |ADVx_SLT| 48 |   121 |UU      MR|psu.m^3/s       |Zonal      Advective Flux of Salinity
   121 |ADVy_SLT| 48 |   120 |VV      MR|psu.m^3/s       |Meridional Advective Flux of Salinity
   122 |DFrE_SLT| 48 |       |WM      LR|psu.m^3/s       |Vertical Diffusive Flux of Salinity    (Explicit part)
   123 |DFxE_SLT| 48 |   124 |UU      MR|psu.m^3/s       |Zonal      Diffusive Flux of Salinity
   124 |DFyE_SLT| 48 |   123 |VV      MR|psu.m^3/s       |Meridional Diffusive Flux of Salinity
   125 |DFrI_SLT| 48 |       |WM      LR|psu.m^3/s       |Vertical Diffusive Flux of Salinity    (Implicit part)
   126 |SALTFILL| 48 |       |SM      MR|psu.m^3/s       |Filling of Negative Values of Salinity
   127 |VISCAHZ | 48 |       |SZ      MR|m^2/s           |Harmonic Visc Coefficient (m2/s) (Zeta Pt)
   128 |VISCA4Z | 48 |       |SZ      MR|m^4/s           |Biharmonic Visc Coefficient (m4/s) (Zeta Pt)
   129 |VISCAHD | 48 |       |SM      MR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (Div Pt)
   130 |VISCA4D | 48 |       |SM      MR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (Div Pt)
   131 |VISCAHW | 48 |       |WM      LR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (W Pt)
   132 |VISCA4W | 48 |       |WM      LR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (W Pt)
   133 |VAHZMAX | 48 |       |SZ      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Zeta Pt)
   134 |VA4ZMAX | 48 |       |SZ      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Zeta Pt)
   135 |VAHDMAX | 48 |       |SM      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Div Pt)
   136 |VA4DMAX | 48 |       |SM      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Div Pt)
   137 |VAHZMIN | 48 |       |SZ      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Zeta Pt)
   138 |VA4ZMIN | 48 |       |SZ      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Zeta Pt)
   139 |VAHDMIN | 48 |       |SM      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Div Pt)
   140 |VA4DMIN | 48 |       |SM      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Div Pt)
   141 |VAHZLTH | 48 |       |SZ      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Zeta Pt)
   142 |VA4ZLTH | 48 |       |SZ      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Zeta Pt)
   143 |VAHDLTH | 48 |       |SM      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Div Pt)
   144 |VA4DLTH | 48 |       |SM      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Div Pt)
   145 |VAHZLTHD| 48 |       |SZ      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Zeta Pt)
   146 |VA4ZLTHD| 48 |       |SZ      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Zeta Pt)
   147 |VAHDLTHD| 48 |       |SM      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Div Pt)
   148 |VA4DLTHD| 48 |       |SM      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Div Pt)
   149 |VAHZSMAG| 48 |       |SZ      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Zeta Pt)
   150 |VA4ZSMAG| 48 |       |SZ      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Zeta Pt)
   151 |VAHDSMAG| 48 |       |SM      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Div Pt)
   152 |VA4DSMAG| 48 |       |SM      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Div Pt)
   153 |momKE   | 48 |       |SMR     MR|m^2/s^2         |Kinetic Energy (in momentum Eq.)
   154 |momHDiv | 48 |       |SMR     MR|s^-1            |Horizontal Divergence (in momentum Eq.)
   155 |momVort3| 48 |       |SZR     MR|s^-1            |3rd component (vertical) of Vorticity
   156 |Strain  | 48 |       |SZR     MR|s^-1            |Horizontal Strain of Horizontal Velocities
   157 |Tension | 48 |       |SMR     MR|s^-1            |Horizontal Tension of Horizontal Velocities
   158 |UBotDrag| 48 |   159 |UUR     MR|m/s^2           |U momentum tendency from Bottom Drag
   159 |VBotDrag| 48 |   158 |VVR     MR|m/s^2           |V momentum tendency from Bottom Drag
   160 |USidDrag| 48 |   161 |UUR     MR|m/s^2           |U momentum tendency from Side Drag
   161 |VSidDrag| 48 |   160 |VVR     MR|m/s^2           |V momentum tendency from Side Drag
   162 |Um_Diss | 48 |   163 |UUR     MR|m/s^2           |U momentum tendency from Dissipation
   163 |Vm_Diss | 48 |   162 |VVR     MR|m/s^2           |V momentum tendency from Dissipation
   164 |Um_Advec| 48 |   165 |UUR     MR|m/s^2           |U momentum tendency from Advection terms
   165 |Vm_Advec| 48 |   164 |VVR     MR|m/s^2           |V momentum tendency from Advection terms
   166 |Um_Cori | 48 |   167 |UUR     MR|m/s^2           |U momentum tendency from Coriolis term
   167 |Vm_Cori | 48 |   166 |VVR     MR|m/s^2           |V momentum tendency from Coriolis term
   168 |Um_dPHdx| 48 |   169 |UUR     MR|m/s^2           |U momentum tendency from Hydrostatic Pressure grad
   169 |Vm_dPHdy| 48 |   168 |VVR     MR|m/s^2           |V momentum tendency from Hydrostatic Pressure grad
   170 |Um_Ext  | 48 |   171 |UUR     MR|m/s^2           |U momentum tendency from external forcing
   171 |Vm_Ext  | 48 |   170 |VVR     MR|m/s^2           |V momentum tendency from external forcing
   172 |Um_AdvZ3| 48 |   173 |UUR     MR|m/s^2           |U momentum tendency from Vorticity Advection
   173 |Vm_AdvZ3| 48 |   172 |VVR     MR|m/s^2           |V momentum tendency from Vorticity Advection
   174 |Um_AdvRe| 48 |   175 |UUR     MR|m/s^2           |U momentum tendency from vertical Advection (Explicit part)
   175 |Vm_AdvRe| 48 |   174 |VVR     MR|m/s^2           |V momentum tendency from vertical Advection (Explicit part)
   176 |Wm_Diss | 48 |       |WMr     LR|m/s^2           |W momentum tendency from Dissipation
   177 |Wm_Advec| 48 |       |WMr     LR|m/s^2           |W momentum tendency from Advection terms
   178 |WSidDrag| 48 |       |WMr     LR|m/s^2           |Vertical momentum tendency from Side Drag
   179 |ADVx_Um | 48 |   180 |UM      MR|m^4/s^2         |Zonal      Advective Flux of U momentum
   180 |ADVy_Um | 48 |   179 |VZ      MR|m^4/s^2         |Meridional Advective Flux of U momentum
   181 |ADVrE_Um| 48 |       |WU      LR|m^4/s^2         |Vertical   Advective Flux of U momentum (Explicit part)
   182 |ADVx_Vm | 48 |   183 |UZ      MR|m^4/s^2         |Zonal      Advective Flux of V momentum
   183 |ADVy_Vm | 48 |   182 |VM      MR|m^4/s^2         |Meridional Advective Flux of V momentum
   184 |ADVrE_Vm| 48 |       |WV      LR|m^4/s^2         |Vertical   Advective Flux of V momentum (Explicit part)
   185 |VISCx_Um| 48 |   186 |UM      MR|m^4/s^2         |Zonal      Viscous Flux of U momentum
   186 |VISCy_Um| 48 |   185 |VZ      MR|m^4/s^2         |Meridional Viscous Flux of U momentum
   187 |VISrE_Um| 48 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Explicit part)
   188 |VISrI_Um| 48 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Implicit part)
   189 |VISCx_Vm| 48 |   190 |UZ      MR|m^4/s^2         |Zonal      Viscous Flux of V momentum
   190 |VISCy_Vm| 48 |   189 |VM      MR|m^4/s^2         |Meridional Viscous Flux of V momentum
   191 |VISrE_Vm| 48 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Explicit part)
   192 |VISrI_Vm| 48 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Implicit part)
   193 |EXFhs   |  1 |       |SM      U1|W/m^2           |Sensible heat flux into ocean, >0 increases theta
   194 |EXFhl   |  1 |       |SM      U1|W/m^2           |Latent heat flux into ocean, >0 increases theta
   195 |EXFlwnet|  1 |       |SM      U1|W/m^2           |Net upward longwave radiation, >0 decreases theta
   196 |EXFswnet|  1 |       |SM      U1|W/m^2           |Net upward shortwave radiation, >0 decreases theta
   197 |EXFlwdn |  1 |       |SM      U1|W/m^2           |Downward longwave radiation, >0 increases theta
   198 |EXFswdn |  1 |       |SM      U1|W/m^2           |Downward shortwave radiation, >0 increases theta
   199 |EXFqnet |  1 |       |SM      U1|W/m^2           |Net upward heat flux (turb+rad), >0 decreases theta
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   200 |EXFtaux |  1 |       |UM      U1|N/m^2           |zonal surface wind stress, >0 increases uVel
   201 |EXFtauy |  1 |       |VM      U1|N/m^2           |meridional surface wind stress, >0 increases vVel
   202 |EXFuwind|  1 |       |UM      U1|m/s             |zonal 10-m wind speed, >0 increases uVel
   203 |EXFvwind|  1 |       |VM      U1|m/s             |meridional 10-m wind speed, >0 increases uVel
   204 |EXFwspee|  1 |       |SM      U1|m/s             |10-m wind speed modulus ( >= 0 )
   205 |EXFatemp|  1 |       |SM      U1|degK            |surface (2-m) air temperature
   206 |EXFaqh  |  1 |       |SM      U1|kg/kg           |surface (2-m) specific humidity
   207 |EXFevap |  1 |       |SM      U1|m/s             |evaporation, > 0 increases salinity
   208 |EXFpreci|  1 |       |SM      U1|m/s             |precipitation, > 0 decreases salinity
   209 |EXFsnow |  1 |       |SM      U1|m/s             |snow precipitation, > 0 decreases salinity
   210 |EXFempmr|  1 |       |SM      U1|m/s             |net upward freshwater flux, > 0 increases salinity
   211 |EXFpress|  1 |       |SM      U1|N/m^2           |atmospheric pressure field
   212 |EXFroff |  1 |       |SM      U1|m/s             |river runoff, > 0 decreases salinity
   213 |EXFroft |  1 |       |SM      U1|deg C           |river runoff temperature
   214 |KPPviscA| 48 |       |SM P    LR|m^2/s           |KPP vertical eddy viscosity coefficient
   215 |KPPdiffS| 48 |       |SM P    LR|m^2/s           |Vertical diffusion coefficient for salt & tracers
   216 |KPPdiffT| 48 |       |SM P    LR|m^2/s           |Vertical diffusion coefficient for heat
   217 |KPPghatK| 48 |       |SM P    LR|0-1             |ratio of KPP non-local (salt) flux relative to surface-flux
   218 |KPPhbl  |  1 |       |SM P     1|m               |KPP boundary layer depth, bulk Ri criterion
   219 |KPPfrac |  1 |       |SM P     1|                |Short-wave flux fraction penetrating mixing layer
   220 |KPPdbsfc| 48 |       |SM P    UR|m/s^2           |Buoyancy difference with respect to surface
   221 |KPPbfsfc| 48 |       |SM P    UR|m^2/s^3         |Bo+radiation absorbed to d=hbf*hbl + plume
   222 |KPPRi   | 48 |       |SM P    UR|non-dimensional |Bulk Richardson number
   223 |KPPbo   |  1 |       |SM P     1|m^2/s^3         |Surface turbulent buoyancy forcing
   224 |KPPbosol|  1 |       |SM P     1|m^2/s^3         |surface radiative buoyancy forcing
   225 |KPPdbloc| 48 |       |SM P    UR|m/s^2           |Local delta buoyancy across interfaces
   226 |KPPnuddt| 48 |       |SM P    UR|m^2/s           |Vertical double diffusion coefficient for heat
   227 |KPPnudds| 48 |       |SM P    UR|m^2/s           |Vertical double diffusion coefficient for salt
   228 |KPPg_TH | 48 |       |WM      LR|degC.m^3/s      |KPP non-local Flux of Pot.Temperature
   229 |KPPg_SLT| 48 |       |WM      LR|psu.m^3/s       |KPP non-local Flux of Salinity
   230 |KPPpfrac|  1 |       |SM P     1|                |Salt plume flux fraction penetrating mixing layer
   231 |KPPboplm|  1 |       |SM P     1|m^2/s^3         |Surface haline buoyancy forcing
   232 |TRAC01  | 48 |       |SMR     MR|mol/m3          |Tr concentration
   233 |UTRAC01 | 48 |   234 |UUr     MR|mol/m3.m/s      |Zonal Mass-Weighted Transp of Tr
   234 |VTRAC01 | 48 |   233 |VVr     MR|mol/m3.m/s      |Merid Mass-Weighted Transp of Tr
   235 |WTRAC01 | 48 |       |WM      MR|mol/m3.m/s      |Vert  Mass-Weighted Transp of Tr
   236 |ForcTr01| 48 |       |SMR     MR|mol/m3/s        |Tr forcing tendency
   237 |AB_gTr01| 48 |       |SMR     MR|mol/m3/s        |Tr tendency from Adams-Bashforth
   238 |ADVrTr01| 48 |       |WM      LR|mol/m3.m^3/s    |Vertical   Advective Flux of Tr
   239 |ADVxTr01| 48 |   240 |UU      MR|mol/m3.m^3/s    |Zonal      Advective Flux of Tr
   240 |ADVyTr01| 48 |   239 |VV      MR|mol/m3.m^3/s    |Meridional Advective Flux of Tr
   241 |DFrETr01| 48 |       |WM      LR|mol/m3.m^3/s    |Vertical Diffusive Flux of Tr (Explicit part)
   242 |DFxETr01| 48 |   243 |UU      MR|mol/m3.m^3/s    |Zonal      Diffusive Flux of Tr
   243 |DFyETr01| 48 |   242 |VV      MR|mol/m3.m^3/s    |Meridional Diffusive Flux of Tr
   244 |DFrITr01| 48 |       |WM      LR|mol/m3.m^3/s    |Vertical Diffusive Flux of Tr (Implicit part)
   245 |KPPgTr01| 48 |       |WM      LR|mol/m3.m^3/s    |KPP non-local Flux of Tr
   246 |Add2EmP |  1 |       |SM      U1|kg/m^2/s        |additional EmP from salt relaxation
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
